date,listings_observed,price_increases,price_reductions,median_abs_move_pct,delistings,relistings
2026-08-05,1990,0,0,,0,0
2026-08-06,1992,22,5,4.07,3,0
2026-08-07,1993,6,12,4.16,18,0
2026-08-08,1996,4,4,6.02,0,6
2026-08-09,1996,0,0,,0,0
2026-08-10,1999,0,0,,0,0
2026-08-11,1999,8,5,5.12,12,0
2026-08-12,2004,15,0,5.05,6,0
2026-08-13,2000,5,0,5.14,0,0
2026-08-14,2007,13,2,6.49,13,0
2026-08-15,2005,4,0,6.88,5,0
2026-08-16,2017,1,0,1.83,0,0
2026-08-17,2017,0,0,,0,0
2026-08-18,2026,11,5,3.91,1,1
2026-08-19,2011,9,1,8.03,17,1
2026-08-20,2016,8,2,5,2,0
2026-08-21,2020,16,2,4.95,7,0
2026-08-22,2034,4,5,3.3,2,0
