town,costa,n_listings,median_price_eur,median_pm2_eur,p25_pm2_eur,p75_pm2_eur,median_built_m2,villa_share_pct,median_beach_km
Estepona,Costa del Sol,231,695000,6475,5371,8733,102,14,1
Mijas,Costa del Sol,182,565000,6729,5668,8427,87,18,2
Torrevieja,Costa Blanca South,116,305450,4992,4160,5691,63,26,0.5
Fuengirola,Costa del Sol,99,725000,7375,6173,9868,90,12,1.5
Pilar de La Horadada,Costa Blanca South,93,365000,4874,4284,5533,77,75,2
Marbella,Costa del Sol,88,1097500,8046,6467,12049,120,33,2.1
Los Alcazares,Costa Calida,76,399900,4632,4197,5380,90,46,1
Finestrat,Costa Blanca North,67,565000,5599,4840,6295,106,55,3
San Pedro del Pinatar,Costa Calida,52,289000,4305,3910,5034,68,46,1
Torre Pacheco,Costa Calida,50,304000,4028,3646,4622,80,66,9
Casares,Costa del Sol,49,595000,6307,5455,7059,97,6,1.8
Guardamar del Segura,Costa Blanca South,43,334000,5115,4175,5704,75,0,1
Benijofar,Costa Blanca South,36,399900,4981,4562,5379,76,36,8
Benahavís,Costa del Sol,33,1160000,9313,7474,12209,125,18,5.5
Villajoyosa,Costa Blanca North,31,445000,6667,5655,7530,70,0,0.5
Polop,Costa Blanca North,29,602000,5928,5443,6387,100,100,9
Algorfa,Costa Blanca South,28,411000,4787,3321,5544,88,75,14
San Miguel de Salinas,Costa Blanca South,27,276000,4082,3698,4427,75,67,9
Manilva,Costa del Sol,26,481000,5498,4188,6474,92,12,1.1
Orihuela Costa,Costa Blanca South,26,647450,5655,4809,7439,118,77,0.7
Rojales,Costa Blanca South,26,501950,4961,4215,6622,99,100,6
Pinoso,Costa Blanca South - Inland,25,473500,3317,2985,3929,140,100,50
Málaga,Costa del Sol,24,817500,9395,6468,12924,84,17,0.9
Baños y Mendigo,Costa Calida,23,496400,4728,4394,5366,105,74,30
Benalmádena,Costa del Sol,21,750000,6585,5955,8504,103,19,1.4
Torremolinos,Costa del Sol,21,598000,7133,6054,8460,88,5,0.7
Calpe,Costa Blanca North,19,670000,8202,6120,9959,109,26,0.4
Jávea Xàbia,Costa Blanca North,18,523000,6709,6131,7802,77,22,0.8
San Javier,Costa Calida,17,380000,4714,3899,6166,80,82,2.5
San Roque,Costa del Sol (Cadiz),15,595000,5719,5239,7311,96,0,1.5
Alicante,Costa Blanca North,14,289900,4603,4375,5129,64,0,3
Orihuela,Costa Blanca South,14,405950,4604,4401,5340,92,100,14.5
Vélez Málaga,Costa del Sol,14,402660,5310,4500,6022,78,21,0.3
la Nucia,Costa Blanca North,13,449427,5909,4871,6161,73,31,7
Aguilas,Costa Calida,12,392000,5343,4350,6542,72,17,0.3
El Verger,Costa Blanca North,12,368000,5707,5085,6057,68,33,0.55
Fuente Álamo,Costa Calida - Inland,12,387423,3992,3279,5098,102,92,23
Hondón de las Nieves,Costa Blanca South - Inland,12,275000,3382,2876,3732,87,25,37
La Linea De La Concepcion,Costa del Sol (Cadiz),12,497000,6254,5649,8528,84,8,0.1
Denia,Costa Blanca North,11,489000,6317,5086,6547,77,9,0.5
rincon de la victoria,Costa del Sol,11,440000,5864,5487,6586,81,9,0.8
Benissa,Costa Blanca North,10,2725000,10061,8056,11826,270,100,1.5
Cartagena,Costa Calida,10,480500,4932,4343,5560,99,50,0.5
Dolores,Costa Blanca South,10,417450,3928,3832,4671,85,100,12
La Manga Club,Costa Calida,10,462500,4931,4552,5661,90,50,2.5
La Manga del Mar Menor,Costa Calida,10,299000,4122,3224,4830,84,20,0.1
Ciudad Quesada,Costa Blanca South,9,549000,5345,4600,5490,100,100,7
Mazarron,Costa Calida - Inland,9,269900,2406,2170,2900,60,67,9
Mutxamel,Costa Blanca North,9,399000,4726,4125,5329,80,33,6
San Fulgencio,Costa Blanca South,9,365000,4389,4033,4620,85,100,7
San Pedro De Alcantara,Costa del Sol,9,777000,7615,6959,9035,108,0,1.2
Almuñecar,Costa Tropical,7,350000,5000,3594,5206,75,43,0.3
Cox,Costa Blanca South - Inland,7,235000,3429,3300,3580,70,100,25
Moraira_Teulada,Costa Blanca North,7,2175000,7967,7877,8938,273,100,2
Puerto de Mazarron,Costa Calida,7,226000,3725,3501,4382,63,71,0.2
Alhama De Murcia,Costa Calida - Inland,6,281925,3780,3592,3839,82,50,20
Aspe,Costa Blanca South - Inland,6,493000,3364,3329,3381,146,100,25
Bigastro,Costa Blanca South,6,207400,3112,2962,3280,64,33,25
El Campello,Costa Blanca North,6,536000,7284,6385,8792,66,33,0.2
Monforte del Cid,Costa Blanca North - Inland,6,514900,4398,3469,5208,105,83,20
Ojen,Costa del Sol,6,1017500,8468,8177,10691,120,17,5
Santa Pola,Costa Blanca South,6,301008,4313,3867,4717,64,0,0.6
Torrox,Costa del Sol,6,357500,4734,4450,5052,75,0,0.2
Alfas del Pi,Costa Blanca North,5,327000,4825,4635,5190,63,20,4
Benidorm,Costa Blanca North,5,1160000,8734,7838,8780,180,100,1
Catral,Costa Blanca South - Inland,5,213000,2760,2700,2840,75,0,15
La Marina,Costa Blanca South,5,299000,4211,3786,5100,71,40,0.8
Penaguila,Costa Blanca North - Inland,5,452000,3521,3238,3582,140,100,26
Sotogrande,Costa del Sol (Cadiz),5,1014000,5761,3696,6413,176,100,4
